data,Libya,idp,non_displaced,returnee
strata.names,,,,
Tripoli_non_displaced,20.37,0,23.84,0
Benghazi_non_displaced,13.12,0,15.35,0
Aljfara_non_displaced,7.8,0,9.13,0
Misrata_non_displaced,7.78,0,9.11,0
Zwara_non_displaced,7.21,0,8.44,0
Azzawya_non_displaced,7.2,0,8.43,0
Benghazi_returnee,4.5,0,0,45.43
Derna_non_displaced,4.25,0,4.97,0
Ejdabia_non_displaced,3.9,0,4.56,0
Al Jabal Al Gharbi_non_displaced,3.24,0,3.79,0
Sebha_non_displaced,2.57,0,3,0
Ubari_non_displaced,1.93,0,2.26,0
Sirt_non_displaced,1.88,0,2.2,0
Sirt_returnee,1.51,0,0,15.25
Tripoli_returnee,1.24,0,0,12.51
Wadi Ashshati_non_displaced,1.17,0,1.37,0
Murzuq_non_displaced,0.98,0,1.14,0
Derna_returnee,0.93,0,0,9.4
Tripoli_idp,0.91,19.54,0,0
Alkufra_non_displaced,0.88,0,1.03,0
Aljufra_non_displaced,0.72,0,0.84,0
Ubari_returnee,0.7,0,0,7.05
Benghazi_idp,0.63,13.67,0,0
Misrata_idp,0.6,12.92,0,0
Ghat_non_displaced,0.45,0,0.52,0
Aljfara_idp,0.39,8.41,0,0
Ejdabia_idp,0.33,7.2,0,0
Zwara_returnee,0.32,0,0,3.26
Sebha_idp,0.32,6.85,0,0
Azzawya_idp,0.27,5.86,0,0
Al Jabal Al Gharbi_returnee,0.27,0,0,2.74
Al Jabal Al Gharbi_idp,0.21,4.59,0,0
Sirt_idp,0.21,4.42,0,0
Ghat_idp,0.2,4.39,0,0
Misrata_returnee,0.17,0,0,1.71
Zwara_idp,0.16,3.43,0,0
Alkufra_idp,0.13,2.76,0,0
Aljfara_returnee,0.13,0,0,1.27
Murzuq_idp,0.11,2.41,0,0
Ubari_idp,0.08,1.78,0,0
Sebha_returnee,0.05,0,0,0.48
Wadi Ashshati_idp,0.03,0.64,0,0
Derna_idp,0.03,0.61,0,0
Alkufra_returnee,0.03,0,0,0.26
Ghat_returnee,0.02,0,0,0.25
Aljufra_idp,0.02,0.5,0,0
Ejdabia_returnee,0.01,0,0,0.13
Azzawya_returnee,0.01,0,0,0.11
Murzuq_returnee,0.01,0,0,0.1
Wadi Ashshati_returnee,0.01,0,0,0.05
mantika_label,,,,
Tripoli,22.52,19.54,23.84,12.51
Benghazi,18.26,13.67,15.35,45.43
Misrata,8.55,12.92,9.11,1.71
Aljfara,8.32,8.41,9.13,1.27
Zwara,7.7,3.43,8.44,3.26
Azzawya,7.49,5.86,8.43,0.11
Derna,5.21,0.61,4.97,9.4
Ejdabia,4.24,7.2,4.56,0.13
Al Jabal Al Gharbi,3.73,4.59,3.79,2.74
Sirt,3.59,4.42,2.2,15.25
Sebha,2.93,6.85,3,0.48
Ubari,2.71,1.78,2.26,7.05
Wadi Ashshati,1.21,0.64,1.37,0.05
Murzuq,1.1,2.41,1.14,0.1
Alkufra,1.04,2.76,1.03,0.26
Aljufra,0.74,0.5,0.84,0
Ghat,0.68,4.39,0.52,0.25
Is the interviewee the head of household? ,,,,
Yes,87.42,88.48,87.38,87.26
No,12.58,11.52,12.62,12.74
How old is the head of the household?,,,,
Average,48.03,47.07,47.96,49.06
What is the sex of the head of household?,,,,
Male,94.19,93.49,94.62,90.86
Female,5.81,6.51,5.38,9.14
Was your household living in this baladiya prior to 2011?,,,,
Yes,91.28,0,95.23,100
No,8.72,100,4.77,0
Has your household been displaced from this baladiya since 2011 as a result of the conflict?,,,,
No,89.6,NA,100,0
Yes,10.4,NA,0,100
Has your household been displaced from your baladiya of origin because of the conflict?,,,,
No,94.09,0,100,NA
Yes,5.91,100,0,NA
How many people live in your household (including the interviewee)?,,,,
Average,5.14,5.12,5.16,4.97
Infants 0-5years: (male),,,,
Average,0.32,0.35,0.33,0.24
Children 6-14 years: (male),,,,
Average,0.54,0.5,0.52,0.68
Youth 15-17 years: (male),,,,
Average,0.33,0.31,0.33,0.32
Adults 18-64: (male),,,,
Average,1.46,1.49,1.46,1.42
Elderly 65+ years: (male),,,,
Average,0.1,0.08,0.1,0.1
nb_male,,,,
Average,2.74,2.73,2.74,2.76
under18_male,,,,
Average,1.19,1.16,1.18,1.24
over18_male,,,,
Average,1.56,1.57,1.56,1.52
school_aged_boys,,,,
Average,0.86,0.81,0.85,1
Infants 0-5years: (female),,,,
Average,0.28,0.27,0.29,0.2
Children 6-14 years: (female),,,,
Average,0.39,0.38,0.39,0.38
Youth 15-17 years: (female),,,,
Average,0.25,0.25,0.26,0.18
Adults 18-64: (female),,,,
Average,1.4,1.42,1.4,1.4
Elderly 65+ years: (female),,,,
Average,0.08,0.07,0.08,0.05
nb_female,,,,
Average,2.4,2.4,2.42,2.21
under18_female,,,,
Average,0.92,0.9,0.93,0.77
over18_female,,,,
Average,1.48,1.5,1.48,1.45
nb_ind_hh,,,,
Average,5.14,5.12,5.16,4.97
nb_under18,,,,
Average,2.1,2.06,2.12,2.01
nb_over18,,,,
Average,3.04,3.06,3.04,2.96
school_aged_girls,,,,
Average,0.64,0.63,0.65,0.56
Is your household currently hosting any individuals that have been displaced from another baladiya?,,,,
No,96.11,95.19,95.92,98.22
Yes,3.89,4.81,4.08,1.78
How many? ,,,,
Average,3.82,3.08,4,2.57
How many of these hosted persons are under 18?,,,,
Average,0.76,0.55,0.79,0.57
1. Male infants (aged 0-5 years),,,,
Average,0.27,0.3,0.27,0.29
2. Male children (aged 6-14 years),,,,
Average,0.37,0.55,0.37,0.16
3. Male youths (aged 15-17 years),,,,
Average,0.12,0.03,0.13,0
4. Female infants (aged 0-5 years),,,,
Average,0.28,0.14,0.27,0.44
5. Female children (aged 6-14 years),,,,
Average,0.19,0.01,0.21,0.01
6. Female youths (aged 15-17 years),,,,
Average,0.14,0.01,0.15,0
seperated_children_calc,,,,
Average,1.36,1.04,1.41,0.9
1. Male infants (aged 0-5 years),,,,
Average,0.03,0,0.02,0.11
2. Male children (aged 6-14 years),,,,
Average,0,0,0,0.08
3. Male youths (aged 15-17 years),,,,
Average,0,0,0,0
4. Female infants (aged 0-5 years),,,,
Average,0,0,0,0.09
5. Female children (aged 6-14 years),,,,
Average,0,0,0,0
6. Female youths (aged 15-17 years),,,,
Average,0,0,0,0
unaccompanied_children_calc,,,,
Average,0.04,0,0.02,0.27
minors_displaced_calc,,,,
Average,1.4,1.04,1.43,1.17
"1. Cereals, grains, and tubers (including wheat bread, pasta, rice, couscous, potatoes, etc.)",,,,
Average,5.91,5.88,5.93,5.74
"2. Legumes and nuts (including beans, chickpeas, peas, nuts, etc.)",,,,
Average,4.48,4.35,4.51,4.32
"3. Milk and dairy products (including milk, cheese, sour cream, yoghurt, etc.)",,,,
Average,5.53,5.31,5.58,5.19
"4. Eggs, meat, fish (including beef, chicken, lamb, canned fish, fresh fish, etc.)",,,,
Average,4.72,4.47,4.79,4.26
"5. Vegetables and leaves (including onions, lettuce, tomatoes, cucumbers, red peppers, spinach, etc.)",,,,
Average,5.88,5.88,5.88,5.89
"6. Fruits (including bananas, apples, cherries, dates, lemons, apricots, pears, etc.)",,,,
Average,3.33,2.95,3.39,3.02
"7. Oil and fat (including vegetable oil, butter, margarine, lard, etc.)",,,,
Average,5.83,5.71,5.89,5.33
"8. Sugar and sweets (including sugar, honey, jam, cakes, cookies, sweets, sugary drinks, etc.)",,,,
Average,5,5.03,5.08,4.26
"9. Condiments and spices (including garlic, tomato paste, and small quantities of items from other food groups)",,,,
Average,6.2,5.99,6.2,6.21
What are the top three sources from which your household typically acquires food?,,,,
Market (purchased on credit),27,31,25,36
Don't know,0,0,0,0
Market (purchased with cheque),55,58,55,60
Own production,9,3,10,3
Prefer not to answer,0,0,0,0
"Received as food aid through government, UN, NGOs, civil society, etc.",3,10,3,2
"Borrowing food from relatives, hosts, or external parties",0,1,0,1
Work or barter for food,11,13,11,3
Received as gift from friends or relatives,2,3,2,0
"Gathering, hunting, or fishing",1,1,1,0
Other (specify),3,3,4,1
Zakat,1,1,1,0
Market (purchased with cash) ,88,84,88,93
"1. Rely on less preferred, less expensive food?",,,,
Average,1.42,1.52,1.42,1.44
2. Borrow food or rely on help from friends or relatives?,,,,
Average,0.16,0.24,0.15,0.24
3. Reduce the number of meals eaten per day?,,,,
Average,0.92,1.12,0.91,0.98
4. Reduce the size of portions or meals?,,,,
Average,0.89,1.27,0.87,0.9
5. Reduce the quantity consumed by adults so children could eat?,,,,
Average,0.28,0.31,0.27,0.4
"Does your household engage in some form of agricultural production (crop farming, gardening, livestock production, raising animals, fishing, etc.) for income generation or for food consumption?",,,,
"Yes, crop production",12,6,13,4
"Yes, fishing/fisheries",3,1,3,3
"Yes, livestock production",12,5,14,4
No,80,89,78,91
Did your household engage in such activities prior to 2011 but had to give them up?,,,,
No,94.2,90.21,94.49,93.54
Yes,5.8,9.79,5.51,6.46
What types of agricultural activities was your household engaged in?,,,,
Crop production,46,41,45,54
Livestock production,57,58,57,62
Other (specify),0,0,0,0
Fishing/fisheries,9,8,10,6
What year did your household give them up?,,,,
2011,37.44,39.26,36.32,45.15
2015,31.42,16.67,32.15,32.83
2013,10.94,2.07,12.67,1.96
2014,6.81,15.79,6.11,7.87
2017,5.96,4.11,6.79,0.52
2012,4.76,7.72,4.1,8.35
2016,2.18,6.49,1.76,3.32
2019,0.34,6.5,0,0
2018,0.16,1.38,0.1,0
What were the main challenges that made your household abandon crop production?,,,,
Unable to access or afford fuel/tools/machinery,8,5,10,1
Unable to access or afford labor,8,3,10,1
Crops stolen/seized/destroyed,31,20,30,38
Unable to access or afford clean water resources,9,5,10,1
Had to leave our land due to displacement,11,66,7,18
Unable to access or afford seeds,23,15,27,1
"Pests (rats, insects, birds, etc.) and diseases",0,0,0,0
Other (specify),1,0,0,10
"Not economically viable (i.e., production costs too high compared to benefits)",6,0,7,1
"Unable to access markets, storage and processing facilities",0,0,0,0
Power cuts,12,24,12,1
Unable to access or afford land,45,22,48,32
Insecurity,33,14,34,30
Unable to access or afford fertilizers and pesticides,26,7,31,3
"What were the main challenges that made your household abandon livestock production?
",,,,
"Lack of veterinary services, vaccines, and medicines",12,23,13,1
Lack of access to fodder/animal feed/pasture,20,36,17,33
Have had to sell or slaughter animals for own consumption,20,26,21,13
Animals have been stolen,20,27,21,15
Animals have been affected by diseases,16,3,18,6
Other (specify),16,22,14,24
Animals have died,7,7,6,12
Lack of access to water,4,25,3,3
Lack of labor to care for animals ,35,22,40,10
What were the main challenges that made your household abandon fishing/fisheries?,,,,
Insecurity increased,87,20,100,37
Unable to access or afford fuel,3,15,0,13
Unable to access markets/sell production,6,0,0,49
Equipment damaged or stolen,4,57,0,0
Pollution increased,0,0,0,0
Catches decreased,1,15,0,0
Other (specify),5,2,0,37
Unable to access or afford labour,0,0,0,0
Unable to access or afford equipment,4,62,0,0
"How many individuals did your household employ to support production in the last 12 months, including seasonal workers?",,,,
Average,15.06,235.93,2,29.46
How much land does your household cultivate in hectares?,,,,
Average,2054.45,1161.48,2323.84,129.83
What are the main crops your household grows?,,,,
Maize,3,1,3,4
Melons,7,11,7,2
Cotton,0,0,1,0
Cauliflower,1,0,1,0
Fodder crops,12,17,12,4
Olives,44,32,48,13
Dates,35,30,38,10
Cucumbers,15,25,16,4
Leafy greens,26,36,28,5
Other (specify),3,2,3,2
"Pulses (beans, chickpeas, nuts, etc.)",6,6,4,19
Barley,27,19,22,73
Irrigated wheat,21,11,21,26
Oil seeds,21,4,25,0
Peppers,21,28,22,6
"Citrus fruits (lemons, oranges, etc.)",38,23,42,12
Rainfed wheat,7,13,6,10
Medicinal and aromatic plants,0,0,0,0
Onions,22,26,24,8
Tomatoes,26,36,28,13
Potatoes or other tubers,11,15,12,1
Has the ongoing conflict since 2014 negatively affected your household's crop production?,,,,
Yes,74.53,63.72,78.1,48.54
No,25.47,36.28,21.9,51.46
How has it negatively affected your household's crop production?,,,,
Unable to access or afford fuel/tools/machinery,11,6,9,37
Unable to access or afford labor,11,5,12,10
Crops stolen/seized/destroyed,5,11,3,21
Unable to access or afford clean water resources,3,5,3,3
Had to leave our land due to displacement,6,55,3,24
Unable to access or afford seeds,9,18,7,34
"Pests (rats, insects, birds, etc.) and diseases",2,3,2,0
Other (specify),0,0,0,0
"Not economically viable (i.e., production costs too high compared to benefits)",7,2,7,5
"Unable to access markets, storage and processing facilities",4,14,4,2
Power cuts,39,19,41,31
Unable to access or afford land,17,7,17,14
Insecurity,36,24,38,17
Unable to access or afford fertilizers and pesticides,20,32,18,41
1. Cattle/cows,,,,
Average,1.81,1.18,1.79,2.69
2. Donkeys/Horses,,,,
Average,0.24,0.18,0.24,0.25
3. Sheep,,,,
Average,26.52,93.42,22.11,38.96
4. Goats,,,,
Average,7.98,27.04,6.94,8.02
5. Poultry,,,,
Average,11.78,8.43,6.4,99.71
6. Camels,,,,
Average,0.46,0.47,0.46,0.57
7. Bee hives,,,,
Average,0.82,0.18,0.9,0.16
8. Other (specify),,,,
Average,0.02,0,0.02,0.04
Has the ongoing conflict since 2014 negatively affected your household's production?,,,,
Yes,67.39,61.01,67.55,70.34
No,32.61,38.99,32.45,29.66
How has it negatively affected your household's production?,,,,
"Lack of veterinary services, vaccines, and medicines",26,29,25,45
Lack of access to fodder/animal feed/pasture,48,50,48,48
Have had to sell or slaughter animals for own consumption,34,21,35,30
Animals have been stolen,13,26,11,22
Animals have been affected by diseases,16,17,17,12
Other (specify),1,12,1,0
Animals have died,16,3,17,5
Lack of access to water,9,1,10,1
Lack of labor to care for animals ,26,6,28,15
What type of shelter does your household live in?,,,,
House,73.34,57.88,74.36,71.82
Apartment,24.66,36.02,23.88,26.08
Unfinished room(s),1.26,2.19,1.23,1.17
Connection house,0.24,2,0.15,0.15
Other (specify),0.23,0.03,0.27,0
"Private building not usually used for shelter (basement, garage, store, warehouse, work site, etc.)",0.08,0.13,0,0.76
Prefer not to answer,0.07,0,0.08,0
"Public building not usually used for shelter (school, mosque, etc.)",0.06,1.31,0,0
Hotel,0.03,0,0.04,0
Tent or caravan,0.01,0.28,0,0.01
Temporary shelter provided by INGO or local NGO,0,0.09,0,0
Camp or informal settlement for displaced persons,0,0.08,0,0
How many rooms are in your household's shelter?,,,,
Average,3.85,3.48,3.86,3.93
How would you describe your household's occupancy status?,,,,
Ownership ,87.78,16.87,91.86,85.79
Rental (with written contract),5.08,25.36,3.84,6.3
Rental (with verbal agreement),3.45,29.37,1.94,4.31
Being hosted for free,2.31,24.18,1.17,1.86
Housing provided by public authority,0.86,2.52,0.79,0.7
Housing provided by employer,0.2,0.38,0.21,0.01
Squatting (without consent of owner),0.14,0.99,0,0.91
Other (specify),0.13,0.06,0.13,0.13
Don't know,0.04,0,0.05,0
Prefer not to answer,0.01,0.27,0,0
How much does your household's rental property cost per month (in LYD)?,,,,
Average,522.12,481.99,531.13,463.23
Has the rent increased or decreased since the beginning of 2019?,,,,
No change,63.68,58.9,61.74,82.64
Increased,29.74,27.24,31.5,15.77
Decreased,4.8,4.78,5.19,1.47
Don't know,1.67,9.08,1.44,0.12
Prefer not to answer,0.11,0,0.13,0
Who is hosting your household for free?,,,,
Family,85.49,47.87,87.29,92.45
Friends,6.61,45.76,3.7,5.47
Other (specify),5.58,5.03,6.21,2.08
Prefer not to answer,2.32,1.33,2.79,0
Question for enumerator: How would you describe the overall condition of this household's shelter?,,,,
No damage / negligible damage,79.45,72.32,82.28,58.34
"Light damage (repairs needed, but shelter is livable)",16.01,21.49,13.78,32.67
Medium damage,3.18,4.77,2.64,7.04
Heavy damage (shelter is not livable without repairs),1.09,0.98,1.02,1.68
Destroyed (shelter needs to be reconstructed),0.28,0.44,0.27,0.27
"If your household owns a house, property or land, where are your proof of ownership documents?",,,,
Physically with me,61.02,44.89,61.83,61.58
Not with me but in a secure place,27.28,33.22,27.72,20.67
"We do not own a house, land or property",6.36,9.7,6.04,7.58
We never obtained ownership documents,2.6,2.51,2.34,4.9
Lost,1.41,6.86,0.83,3.84
Prefer not to answer,0.8,1.21,0.73,1.25
Don't know,0.5,1.1,0.51,0.11
Stolen or confiscated,0.03,0.51,0,0.08
Has your household experienced eviction or the threat of eviction within the past 6 months?,,,,
No,96.89,90.03,97.27,96.84
"Yes, have been recently evicted",1.25,4.29,1.19,0.37
"Yes, have been threatened with eviction",1.05,4,0.8,1.87
Don't know,0.72,0.76,0.69,0.92
Prefer not to answer,0.09,0.92,0.05,0
Why do you think your household was evicted / is being threatened with eviction?,,,,
"Forced eviction, i.e. from armed group pressure or land-grabbing",6,32,2,12
"Punitive measures or retaliatory ""law and order"" actions",2,1,1,4
Request to vacate from owner of buidling/land,8,18,1,34
Authorities requested our household to leave ,20,4,25,3
Discrimination based on ethnicity/tribe,8,4,10,5
No documentation to prove legal ownership,1,7,0,0
Host family no longer able to host our family,1,10,0,0
Land acquisitions,0,1,0,0
Clearance of camp/public space by authorities,4,3,0,27
Other (specify),34,3,45,0
Cannot afford rent,22,28,17,45
1. Mattresses,,,,
My household owns enough of this and does not need more,72.17,57.82,74.05,62.73
My household owns this but needs another / more,25.91,36.86,24.14,36.01
My household does not own this object,1.12,4.13,0.95,1.13
Don't know,0.39,0.23,0.43,0.13
My household does not need this object,0.38,0.15,0.43,0
Prefer not to answer,0.04,0.81,0,0
2. Blankets,,,,
My household owns enough of this and does not need more,71.79,57.56,73.55,63.25
My household owns this but needs another / more,27.03,37.06,25.47,35.84
My household does not own this object,0.59,4.25,0.38,0.72
My household does not need this object,0.34,0,0.39,0.06
Don't know,0.14,0.26,0.13,0.12
Prefer not to answer,0.1,0.67,0.08,0
Other (specify),0.01,0.2,0,0
"3. Bedding items (sheets, pillows)",,,,
My household owns enough of this and does not need more,73.9,58.35,75.85,64.37
My household owns this but needs another / more,24.29,35.85,22.6,33.46
My household does not own this object,1.11,4.8,0.8,2.03
My household does not need this object,0.47,0.17,0.53,0.03
Don't know,0.14,0.16,0.14,0.11
Prefer not to answer,0.1,0.67,0.08,0
4. Clothing for cold weather,,,,
My household owns enough of this and does not need more,68.69,56.66,70.01,62.9
My household owns this but needs another / more,28.4,31.73,27.6,33.74
My household does not own this object,2.17,10.33,1.65,2.87
My household does not need this object,0.34,0.15,0.39,0
Don't know,0.21,0.24,0.19,0.38
Prefer not to answer,0.19,0.89,0.16,0.11
5. Heating systems,,,,
My household owns enough of this and does not need more,62.01,42.78,63.87,54.98
My household owns this but needs another / more,25.74,28.81,25.18,29.06
My household does not own this object,11.3,27.68,9.93,15.43
Don't know,0.47,0.02,0.5,0.38
My household does not need this object,0.44,0,0.51,0
Prefer not to answer,0.04,0.71,0,0.11
Other (specify),0,0,0,0.03
6. Gas/electric stove ,,,,
My household owns enough of this and does not need more,70.64,61.58,71.86,64.38
My household owns this but needs another / more,23.77,29.31,22.73,30.21
My household does not own this object,5.17,7.97,5,5.27
My household does not need this object,0.28,0.17,0.32,0.03
Prefer not to answer,0.11,0.67,0.08,0.11
Don't know,0.01,0.06,0.01,0
Other (specify),0.01,0.23,0,0
7. Cooking set/items                                   ,,,,
My household owns enough of this and does not need more,69.87,59.13,70.92,65.86
My household owns this but needs another / more,27.22,35.57,26.44,30.04
My household does not own this object,2.1,4.25,1.81,3.6
My household does not need this object,0.5,0.17,0.57,0
Don't know,0.16,0.1,0.18,0
Prefer not to answer,0.11,0.78,0.08,0.11
Other (specify),0.04,0,0,0.39
8. Mosquito nets                                                     ,,,,
My household does not own this object,43.44,54.43,42.67,44.95
My household owns enough of this and does not need more,39.16,29.55,40.16,35.03
My household owns this but needs another / more,15.97,14.72,15.68,19.07
Don't know,0.63,0.37,0.71,0.07
My household does not need this object,0.61,0.15,0.71,0
Prefer not to answer,0.11,0.78,0.08,0.11
Other (specify),0.08,0,0,0.77
"9. Water storage containers (water tank, jerry cans, etc.)",,,,
My household owns enough of this and does not need more,72.31,63.52,73.49,66.32
My household owns this but needs another / more,21.78,27.03,20.92,26.73
My household does not own this object,5.06,8.3,4.68,6.81
My household does not need this object,0.48,0.32,0.54,0.03
Don't know,0.26,0.04,0.3,0
Prefer not to answer,0.11,0.78,0.08,0.11
10. Solar lamp,,,,
My household does not own this object,69.83,67.78,70.39,65.96
My household owns enough of this and does not need more,19.37,19.08,19.34,19.79
My household owns this but needs another / more,9.65,11.61,9.16,12.99
Don't know,0.57,0.56,0.51,1.15
My household does not need this object,0.52,0.17,0.6,0
Prefer not to answer,0.05,0.78,0,0.11
Other (specify),0,0.03,0,0
11. Mobile phone (smart phone),,,,
My household owns enough of this and does not need more,69.18,59.47,70.15,65.41
My household owns this but needs another / more,26.94,32.74,26.28,29.84
My household does not own this object,3.55,6.96,3.24,4.64
My household does not need this object,0.22,0.05,0.25,0
Prefer not to answer,0.11,0.78,0.08,0.11
Don't know,0,0,0,0
12. Mobile phone (non-smart phone),,,,
My household owns enough of this and does not need more,46.63,41.96,47.64,40.09
My household does not own this object,34.25,33.89,33.33,42.34
My household owns this but needs another / more,18.23,23.02,18.1,17.07
My household does not need this object,0.64,0.23,0.74,0
Don't know,0.14,0.11,0.11,0.39
Prefer not to answer,0.11,0.78,0.08,0.11
13. Radio,,,,
My household owns enough of this and does not need more,45.63,37.23,46.11,45.41
My household does not own this object,38.75,47.49,37.59,44.63
My household owns this but needs another / more,14.79,13.95,15.49,9.22
My household does not need this object,0.56,0.36,0.63,0.03
Prefer not to answer,0.19,0.78,0.16,0.2
Other (specify),0.07,0,0.02,0.52
Don't know,0.01,0.18,0,0
14. TV,,,,
My household owns enough of this and does not need more,72.42,58.72,73.96,65.51
My household owns this but needs another / more,25.78,35.5,24.54,31.92
My household does not own this object,1.43,4.93,1.12,2.46
My household does not need this object,0.2,0.08,0.23,0
Prefer not to answer,0.11,0.78,0.08,0.11
Don't know,0.07,0,0.08,0
15. Desktop or laptop computer,,,,
My household owns enough of this and does not need more,42.9,26.61,44.67,35.25
My household does not own this object,37.06,52.68,35.24,45.45
My household owns this but needs another / more,19.85,19.77,19.99,18.71
Don't know,0.12,0.04,0.09,0.38
Prefer not to answer,0.06,0.78,0,0.2
Other (specify),0.01,0,0.01,0
My household does not need this object,0.01,0.12,0,0
Generator,,,,
My household does not own this object,52.62,72.05,50.67,60.37
My household owns enough of this and does not need more,30.04,14.3,31.24,27.01
My household owns this but needs another / more,17.14,12.64,17.92,12.51
Prefer not to answer,0.18,0.78,0.16,0.11
Other (specify),0.01,0.06,0.01,0
Don't know,0,0.1,0,0
My household does not need this object,0,0.06,0,0
17. Construction materials and equipment,,,,
My household does not own this object,55.8,71.89,53.81,65.44
