"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var","1. Government salary","na","NA","NA",1400,38.266009269349,1350,1500,NA,NA
"dependent.var3","2. Government social benefits or assistance (including pensions)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var4","3. Non-government salaried work","na","NA","NA",1000,25.5106728462327,900,1000,NA,NA
"dependent.var5","4. Casual or daily labour","na","NA","NA",500,127.553364231163,200,700,NA,NA
"dependent.var6","5. Income from own business or commerce","na","NA","NA",1200,127.553364231163,1000,1500,NA,NA
"dependent.var7","6. Remittances","na","NA","NA",0,0,0,0,NA,NA
"dependent.var8","7. Support from family and friends (not including remittances)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var9","8. Humanitarian assistance","na","NA","NA",0,0,0,0,NA,NA
"dependent.var10","9. Zakat or charitable donations (not formal humanitarian assistance)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var11","10. Other (specify)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var12","1. Food items","na","NA","NA",500,0,500,500,NA,NA
"dependent.var13","2. Rent","na","NA","NA",400,25.5106728462327,350,450,NA,NA
"dependent.var14","3. Shelter maintenance","na","NA","NA",0,0,0,0,NA,NA
"dependent.var15","4. Water (from all sources combined)","na","NA","NA",40,2.55106728462327,30,40,NA,NA
"dependent.var16","5. Non-food household items (hygiene items, blankets, lightbulbs, etc.)","na","NA","NA",50,0,50,50,NA,NA
"dependent.var17","6. Utilities (electricity and gas connections)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var18","7. Fuel (for cooking, for vehicles, etc.)","na","NA","NA",60,2.55106728462327,50,60,NA,NA
"dependent.var19","8. Health-related expenditures (healthcare, medicine, etc.)","na","NA","NA",60,7.65320185386981,50,80,NA,NA
"dependent.var20","9. Education-related expenditures (school fees, supplies, uniforms, etc.)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var21","10. Transportation ","na","NA","NA",0,0,0,0,NA,NA
"dependent.var22","11. Mobile phone credit","na","NA","NA",50,0,50,50,NA,NA
"dependent.var23","12. Productive assets (items used to help generate income, such as sewing machines, tools, etc.)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var24","13. Debt repayment","na","NA","NA",0,0,0,0,NA,NA
"dependent.var25","14. All other expenditures (specify)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var26","1. Government salary","Displacement_status",NA,"idp",1255,38.266009269349,1180,1330,NA,NA
"dependent.var1","1. Government salary","Displacement_status",NA,"non_displaced",1500,25.5106728462327,1450,1550,NA,NA
"dependent.var2","1. Government salary","Displacement_status",NA,"returnee",1200,25.5106728462327,1150,1250,NA,NA
"dependent.var27","2. Government social benefits or assistance (including pensions)","Displacement_status",NA,"idp",0,0,0,0,NA,NA
"dependent.var110","2. Government social benefits or assistance (including pensions)","Displacement_status",NA,"non_displaced",0,0,0,0,NA,NA
"dependent.var28","2. Government social benefits or assistance (including pensions)","Displacement_status",NA,"returnee",0,0,0,0,NA,NA
"dependent.var29","3. Non-government salaried work","Displacement_status",NA,"non_displaced",1000,25.5106728462327,950,1050,NA,NA
"dependent.var111","3. Non-government salaried work","Displacement_status",NA,"idp",750,63.7766821155817,625,875,NA,NA
"dependent.var210","3. Non-government salaried work","Displacement_status",NA,"returnee",850,51.0213456924654,750,950,NA,NA
"dependent.var30","4. Casual or daily labour","Displacement_status",NA,"idp",500,114.798027808047,275,725,NA,NA
"dependent.var112","4. Casual or daily labour","Displacement_status",NA,"non_displaced",500,153.064037077396,200,800,NA,NA
"dependent.var211","4. Casual or daily labour","Displacement_status",NA,"returnee",400,153.064037077396,100,700,NA,NA
"dependent.var31","5. Income from own business or commerce","Displacement_status",NA,"returnee",700,255.106728462327,200,1200,NA,NA
"dependent.var113","5. Income from own business or commerce","Displacement_status",NA,"non_displaced",1300,153.064037077396,1000,1600,NA,NA
"dependent.var212","5. Income from own business or commerce","Displacement_status",NA,"idp",600,76.5320185386981,450,750,NA,NA
"dependent.var32","6. Remittances","Displacement_status",NA,"idp",0,0,0,0,NA,NA
"dependent.var114","6. Remittances","Displacement_status",NA,"non_displaced",0,0,0,0,NA,NA
"dependent.var213","6. Remittances","Displacement_status",NA,"returnee",0,0,0,0,NA,NA
"dependent.var33","7. Support from family and friends (not including remittances)","Displacement_status",NA,"idp",0,0,0,0,NA,NA
"dependent.var115","7. Support from family and friends (not including remittances)","Displacement_status",NA,"non_displaced",0,0,0,0,NA,NA
"dependent.var214","7. Support from family and friends (not including remittances)","Displacement_status",NA,"returnee",0,0,0,0,NA,NA
"dependent.var34","8. Humanitarian assistance","Displacement_status",NA,"idp",0,0,0,0,NA,NA
"dependent.var116","8. Humanitarian assistance","Displacement_status",NA,"non_displaced",0,0,0,0,NA,NA
"dependent.var215","8. Humanitarian assistance","Displacement_status",NA,"returnee",0,0,0,0,NA,NA
"dependent.var35","9. Zakat or charitable donations (not formal humanitarian assistance)","Displacement_status",NA,"idp",0,0,0,0,NA,NA
"dependent.var117","9. Zakat or charitable donations (not formal humanitarian assistance)","Displacement_status",NA,"non_displaced",0,0,0,0,NA,NA
"dependent.var216","9. Zakat or charitable donations (not formal humanitarian assistance)","Displacement_status",NA,"returnee",0,0,0,0,NA,NA
"dependent.var36","10. Other (specify)","Displacement_status",NA,"idp",0,0,0,0,NA,NA
"dependent.var118","10. Other (specify)","Displacement_status",NA,"non_displaced",0,0,0,0,NA,NA
"dependent.var217","10. Other (specify)","Displacement_status",NA,"returnee",0,0,0,0,NA,NA
"dependent.var37","1. Food items","Displacement_status",NA,"idp",500,12.7553364231164,475,525,NA,NA
"dependent.var119","1. Food items","Displacement_status",NA,"non_displaced",500,0,500,500,NA,NA
"dependent.var218","1. Food items","Displacement_status",NA,"returnee",500,0,500,500,NA,NA
"dependent.var38","2. Rent","Displacement_status",NA,"idp",450,25.5106728462327,400,500,NA,NA
"dependent.var120","2. Rent","Displacement_status",NA,"non_displaced",400,38.266009269349,325,475,NA,NA
"dependent.var219","2. Rent","Displacement_status",NA,"returnee",400,25.5106728462327,350,450,NA,NA
"dependent.var39","3. Shelter maintenance","Displacement_status",NA,"idp",0,0,0,0,NA,NA
"dependent.var121","3. Shelter maintenance","Displacement_status",NA,"non_displaced",0,0,0,0,NA,NA
"dependent.var220","3. Shelter maintenance","Displacement_status",NA,"returnee",0,0,0,0,NA,NA
"dependent.var40","4. Water (from all sources combined)","Displacement_status",NA,"idp",30,0,30,30,NA,NA
"dependent.var122","4. Water (from all sources combined)","Displacement_status",NA,"non_displaced",40,3.82660092693491,32.5,47.5,NA,NA
"dependent.var221","4. Water (from all sources combined)","Displacement_status",NA,"returnee",35,5.10213456924654,25,45,NA,NA
"dependent.var41","5. Non-food household items (hygiene items, blankets, lightbulbs, etc.)","Displacement_status",NA,"idp",50,0,50,50,NA,NA
"dependent.var123","5. Non-food household items (hygiene items, blankets, lightbulbs, etc.)","Displacement_status",NA,"non_displaced",50,2.55106728462327,45,55,NA,NA
"dependent.var222","5. Non-food household items (hygiene items, blankets, lightbulbs, etc.)","Displacement_status",NA,"returnee",40,5.10213456924654,30,50,NA,NA
"dependent.var42","6. Utilities (electricity and gas connections)","Displacement_status",NA,"idp",0,0,0,0,NA,NA
"dependent.var124","6. Utilities (electricity and gas connections)","Displacement_status",NA,"non_displaced",0,0,0,0,NA,NA
"dependent.var223","6. Utilities (electricity and gas connections)","Displacement_status",NA,"returnee",10,2.55106728462327,5,15,NA,NA
"dependent.var43","7. Fuel (for cooking, for vehicles, etc.)","Displacement_status",NA,"idp",50,2.55106728462327,45,55,NA,NA
"dependent.var125","7. Fuel (for cooking, for vehicles, etc.)","Displacement_status",NA,"non_displaced",60,2.55106728462327,55,65,NA,NA
"dependent.var224","7. Fuel (for cooking, for vehicles, etc.)","Displacement_status",NA,"returnee",50,2.55106728462327,45,55,NA,NA
"dependent.var44","8. Health-related expenditures (healthcare, medicine, etc.)","Displacement_status",NA,"idp",50,6.37766821155818,37.5,62.5,NA,NA
"dependent.var126","8. Health-related expenditures (healthcare, medicine, etc.)","Displacement_status",NA,"non_displaced",60,7.65320185386981,45,75,NA,NA
"dependent.var225","8. Health-related expenditures (healthcare, medicine, etc.)","Displacement_status",NA,"returnee",50,8.92873549618145,32.5,67.5,NA,NA
"dependent.var45","9. Education-related expenditures (school fees, supplies, uniforms, etc.)","Displacement_status",NA,"idp",0,0,0,0,NA,NA
"dependent.var127","9. Education-related expenditures (school fees, supplies, uniforms, etc.)","Displacement_status",NA,"non_displaced",0,0,0,0,NA,NA
"dependent.var226","9. Education-related expenditures (school fees, supplies, uniforms, etc.)","Displacement_status",NA,"returnee",0,0,0,0,NA,NA
"dependent.var46","10. Transportation ","Displacement_status",NA,"idp",0,0,0,0,NA,NA
"dependent.var128","10. Transportation ","Displacement_status",NA,"non_displaced",0,0,0,0,NA,NA
"dependent.var227","10. Transportation ","Displacement_status",NA,"returnee",0,0,0,0,NA,NA
"dependent.var47","11. Mobile phone credit","Displacement_status",NA,"idp",50,0,50,50,NA,NA
"dependent.var129","11. Mobile phone credit","Displacement_status",NA,"non_displaced",50,0,50,50,NA,NA
"dependent.var228","11. Mobile phone credit","Displacement_status",NA,"returnee",45,2.55106728462327,40,50,NA,NA
"dependent.var48","12. Productive assets (items used to help generate income, such as sewing machines, tools, etc.)","Displacement_status",NA,"idp",0,0,0,0,NA,NA
"dependent.var130","12. Productive assets (items used to help generate income, such as sewing machines, tools, etc.)","Displacement_status",NA,"non_displaced",0,0,0,0,NA,NA
"dependent.var229","12. Productive assets (items used to help generate income, such as sewing machines, tools, etc.)","Displacement_status",NA,"returnee",0,0,0,0,NA,NA
"dependent.var49","13. Debt repayment","Displacement_status",NA,"idp",0,0,0,0,NA,NA
"dependent.var131","13. Debt repayment","Displacement_status",NA,"non_displaced",0,0,0,0,NA,NA
"dependent.var230","13. Debt repayment","Displacement_status",NA,"returnee",0,0,0,0,NA,NA
"dependent.var50","14. All other expenditures (specify)","Displacement_status",NA,"idp",0,0,0,0,NA,NA
"dependent.var132","14. All other expenditures (specify)","Displacement_status",NA,"non_displaced",0,0,0,0,NA,NA
"dependent.var231","14. All other expenditures (specify)","Displacement_status",NA,"returnee",0,0,0,0,NA,NA
